MFCC_N,K_N,TEST_SIZE,RANDOM_STATE,ACCURACY
1,22,0.3,0,0.47333333333333333
1,22,0.3,42,0.4766666666666667
1,22,0.3,99,0.4866666666666667
1,22,0.4,0,0.47
1,22,0.4,42,0.4625
1,22,0.4,99,0.485
1,23,0.1,0,0.49
1,23,0.1,42,0.46
1,23,0.1,99,0.5
1,23,0.2,0,0.48
1,23,0.2,42,0.45
1,23,0.2,99,0.49
1,23,0.3,0,0.46
1,23,0.3,42,0.47
1,23,0.3,99,0.4633333333333333
1,23,0.4,0,0.46
1,23,0.4,42,0.465
1,23,0.4,99,0.48
1,24,0.1,0,0.48
1,24,0.1,42,0.47
1,24,0.1,99,0.5
1,24,0.2,0,0.475
1,24,0.2,42,0.46
1,24,0.2,99,0.5
1,24,0.3,0,0.4666666666666667
1,24,0.3,42,0.48333333333333334
1,24,0.3,99,0.4633333333333333
1,24,0.4,0,0.4525
1,24,0.4,42,0.475
1,24,0.4,99,0.4825
1,25,0.1,0,0.47
1,25,0.1,42,0.47
1,25,0.1,99,0.5
1,25,0.2,0,0.48
1,25,0.2,42,0.45
1,25,0.2,99,0.495
1,25,0.3,0,0.45666666666666667
1,25,0.3,42,0.4866666666666667
1,25,0.3,99,0.48
1,25,0.4,0,0.45
1,25,0.4,42,0.47
1,25,0.4,99,0.48
1,26,0.1,0,0.43
1,26,0.1,42,0.46
1,26,0.1,99,0.5
1,26,0.2,0,0.46
1,26,0.2,42,0.46
1,26,0.2,99,0.51
1,26,0.3,0,0.4633333333333333
1,26,0.3,42,0.5033333333333333
1,26,0.3,99,0.48
1,26,0.4,0,0.445
1,26,0.4,42,0.475
1,26,0.4,99,0.4775
1,27,0.1,0,0.44
1,27,0.1,42,0.48
1,27,0.1,99,0.5
1,27,0.2,0,0.46
1,27,0.2,42,0.465
1,27,0.2,99,0.495
1,27,0.3,0,0.4633333333333333
1,27,0.3,42,0.49666666666666665
1,27,0.3,99,0.47
1,27,0.4,0,0.455
1,27,0.4,42,0.475
1,27,0.4,99,0.4875
1,28,0.1,0,0.44
1,28,0.1,42,0.5
1,28,0.1,99,0.49
1,28,0.2,0,0.46
1,28,0.2,42,0.475
1,28,0.2,99,0.49
1,28,0.3,0,0.47
1,28,0.3,42,0.49
1,28,0.3,99,0.47333333333333333
1,28,0.4,0,0.4525
1,28,0.4,42,0.4675
1,28,0.4,99,0.49
1,29,0.1,0,0.45
1,29,0.1,42,0.49
1,29,0.1,99,0.49
1,29,0.2,0,0.47
1,29,0.2,42,0.47
1,29,0.2,99,0.505
1,29,0.3,0,0.46
1,29,0.3,42,0.49333333333333335
1,29,0.3,99,0.4666666666666667
1,29,0.4,0,0.45
1,29,0.4,42,0.4725
1,29,0.4,99,0.4725
1,30,0.1,0,0.46
1,30,0.1,42,0.49
1,30,0.1,99,0.51
1,30,0.2,0,0.49
1,30,0.2,42,0.475
1,30,0.2,99,0.5
1,30,0.3,0,0.47
1,30,0.3,42,0.48333333333333334
1,30,0.3,99,0.4766666666666667
1,30,0.4,0,0.4425
1,30,0.4,42,0.46
1,30,0.4,99,0.4825
2,1,0.1,0,0.47
2,1,0.1,42,0.49
2,1,0.1,99,0.56
2,1,0.2,0,0.465
2,1,0.2,42,0.485
2,1,0.2,99,0.515
2,1,0.3,0,0.48333333333333334
2,1,0.3,42,0.4866666666666667
2,1,0.3,99,0.5
2,1,0.4,0,0.485
2,1,0.4,42,0.47
2,1,0.4,99,0.505
2,2,0.1,0,0.48
2,2,0.1,42,0.54
2,2,0.1,99,0.56
2,2,0.2,0,0.465
2,2,0.2,42,0.45
2,2,0.2,99,0.515
2,2,0.3,0,0.47
2,2,0.3,42,0.44666666666666666
2,2,0.3,99,0.47333333333333333
2,2,0.4,0,0.4775
2,2,0.4,42,0.44
2,2,0.4,99,0.48
2,3,0.1,0,0.47
2,3,0.1,42,0.47
2,3,0.1,99,0.57
2,3,0.2,0,0.465
2,3,0.2,42,0.455
2,3,0.2,99,0.505
2,3,0.3,0,0.48333333333333334
2,3,0.3,42,0.45666666666666667
2,3,0.3,99,0.4866666666666667
2,3,0.4,0,0.495
2,3,0.4,42,0.4675
2,3,0.4,99,0.4825
2,4,0.1,0,0.48
2,4,0.1,42,0.47
2,4,0.1,99,0.56
2,4,0.2,0,0.495
2,4,0.2,42,0.49
2,4,0.2,99,0.515
