MFCC_N,K_N,TEST_SIZE,RANDOM_STATE,ACCURACY
1,23,0.3,99,0.51
1,23,0.4,0,0.5575
1,23,0.4,42,0.5625
1,23,0.4,99,0.5325
1,24,0.1,0,0.54
1,24,0.1,42,0.59
1,24,0.1,99,0.52
1,24,0.2,0,0.56
1,24,0.2,42,0.575
1,24,0.2,99,0.545
1,24,0.3,0,0.5566666666666666
1,24,0.3,42,0.5666666666666667
1,24,0.3,99,0.51
1,24,0.4,0,0.5675
1,24,0.4,42,0.565
1,24,0.4,99,0.54
1,25,0.1,0,0.54
1,25,0.1,42,0.57
1,25,0.1,99,0.53
1,25,0.2,0,0.565
1,25,0.2,42,0.58
1,25,0.2,99,0.54
1,25,0.3,0,0.5533333333333333
1,25,0.3,42,0.56
1,25,0.3,99,0.5166666666666667
1,25,0.4,0,0.565
1,25,0.4,42,0.545
1,25,0.4,99,0.5325
1,26,0.1,0,0.56
1,26,0.1,42,0.59
1,26,0.1,99,0.52
1,26,0.2,0,0.56
1,26,0.2,42,0.585
1,26,0.2,99,0.535
1,26,0.3,0,0.5566666666666666
1,26,0.3,42,0.5633333333333334
1,26,0.3,99,0.5166666666666667
1,26,0.4,0,0.5625
1,26,0.4,42,0.55
1,26,0.4,99,0.5175
1,27,0.1,0,0.54
1,27,0.1,42,0.61
1,27,0.1,99,0.52
1,27,0.2,0,0.56
1,27,0.2,42,0.585
1,27,0.2,99,0.545
1,27,0.3,0,0.5533333333333333
1,27,0.3,42,0.56
1,27,0.3,99,0.5166666666666667
1,27,0.4,0,0.5575
1,27,0.4,42,0.5425
1,27,0.4,99,0.5175
1,28,0.1,0,0.53
1,28,0.1,42,0.61
1,28,0.1,99,0.52
1,28,0.2,0,0.56
1,28,0.2,42,0.585
1,28,0.2,99,0.54
1,28,0.3,0,0.5633333333333334
1,28,0.3,42,0.5633333333333334
1,28,0.3,99,0.5066666666666667
1,28,0.4,0,0.5525
1,28,0.4,42,0.5475
1,28,0.4,99,0.52
1,29,0.1,0,0.53
1,29,0.1,42,0.61
1,29,0.1,99,0.51
1,29,0.2,0,0.555
1,29,0.2,42,0.595
1,29,0.2,99,0.535
1,29,0.3,0,0.55
1,29,0.3,42,0.5633333333333334
1,29,0.3,99,0.5066666666666667
1,29,0.4,0,0.5475
1,29,0.4,42,0.55
1,29,0.4,99,0.5275
1,30,0.1,0,0.52
1,30,0.1,42,0.59
1,30,0.1,99,0.52
1,30,0.2,0,0.545
1,30,0.2,42,0.585
1,30,0.2,99,0.525
1,30,0.3,0,0.5466666666666666
1,30,0.3,42,0.5566666666666666
1,30,0.3,99,0.5033333333333333
1,30,0.4,0,0.55
1,30,0.4,42,0.5425
1,30,0.4,99,0.5275
2,1,0.1,0,0.57
2,1,0.1,42,0.57
2,1,0.1,99,0.56
2,1,0.2,0,0.56
2,1,0.2,42,0.585
2,1,0.2,99,0.59
2,1,0.3,0,0.5766666666666667
2,1,0.3,42,0.5566666666666666
2,1,0.3,99,0.58
2,1,0.4,0,0.575
2,1,0.4,42,0.56
2,1,0.4,99,0.5825
2,2,0.1,0,0.61
2,2,0.1,42,0.55
2,2,0.1,99,0.54
2,2,0.2,0,0.545
2,2,0.2,42,0.54
2,2,0.2,99,0.565
2,2,0.3,0,0.56
2,2,0.3,42,0.52
2,2,0.3,99,0.5333333333333333
2,2,0.4,0,0.5575
2,2,0.4,42,0.52
2,2,0.4,99,0.54
2,3,0.1,0,0.59
2,3,0.1,42,0.57
2,3,0.1,99,0.53
2,3,0.2,0,0.535
2,3,0.2,42,0.58
2,3,0.2,99,0.605
2,3,0.3,0,0.5633333333333334
2,3,0.3,42,0.5566666666666666
2,3,0.3,99,0.5733333333333334
2,3,0.4,0,0.5625
2,3,0.4,42,0.5575
2,3,0.4,99,0.55
2,4,0.1,0,0.62
2,4,0.1,42,0.62
2,4,0.1,99,0.55
2,4,0.2,0,0.6
2,4,0.2,42,0.605
2,4,0.2,99,0.6
2,4,0.3,0,0.6
2,4,0.3,42,0.5766666666666667
2,4,0.3,99,0.5533333333333333
2,4,0.4,0,0.5775
2,4,0.4,42,0.56
2,4,0.4,99,0.56
2,5,0.1,0,0.63
2,5,0.1,42,0.64
2,5,0.1,99,0.54
2,5,0.2,0,0.585
2,5,0.2,42,0.615
2,5,0.2,99,0.61
2,5,0.3,0,0.6
2,5,0.3,42,0.6033333333333334
2,5,0.3,99,0.5533333333333333
2,5,0.4,0,0.59
2,5,0.4,42,0.5825
2,5,0.4,99,0.5725
2,6,0.1,0,0.61
2,6,0.1,42,0.62
2,6,0.1,99,0.56
2,6,0.2,0,0.595
2,6,0.2,42,0.59
2,6,0.2,99,0.595
2,6,0.3,0,0.59
2,6,0.3,42,0.6033333333333334
2,6,0.3,99,0.5766666666666667
2,6,0.4,0,0.585
2,6,0.4,42,0.5725
2,6,0.4,99,0.5875
2,7,0.1,0,0.59
2,7,0.1,42,0.59
2,7,0.1,99,0.59
2,7,0.2,0,0.585
2,7,0.2,42,0.61
2,7,0.2,99,0.585
2,7,0.3,0,0.6033333333333334
2,7,0.3,42,0.5866666666666667
2,7,0.3,99,0.54
2,7,0.4,0,0.59
2,7,0.4,42,0.575
2,7,0.4,99,0.595
2,8,0.1,0,0.59
2,8,0.1,42,0.61
2,8,0.1,99,0.56
2,8,0.2,0,0.605
2,8,0.2,42,0.61
2,8,0.2,99,0.565
2,8,0.3,0,0.6033333333333334
2,8,0.3,42,0.5733333333333334
2,8,0.3,99,0.5366666666666666
2,8,0.4,0,0.59
2,8,0.4,42,0.5725
2,8,0.4,99,0.575
2,9,0.1,0,0.6
2,9,0.1,42,0.6
2,9,0.1,99,0.53
2,9,0.2,0,0.615
2,9,0.2,42,0.62
2,9,0.2,99,0.565
2,9,0.3,0,0.6
2,9,0.3,42,0.5833333333333334
2,9,0.3,99,0.5366666666666666
2,9,0.4,0,0.575
2,9,0.4,42,0.565
2,9,0.4,99,0.565
2,10,0.1,0,0.62
2,10,0.1,42,0.63
2,10,0.1,99,0.57
2,10,0.2,0,0.6
2,10,0.2,42,0.625
2,10,0.2,99,0.6
2,10,0.3,0,0.6066666666666667
2,10,0.3,42,0.5966666666666667
2,10,0.3,99,0.5366666666666666
2,10,0.4,0,0.585
2,10,0.4,42,0.57
2,10,0.4,99,0.58
2,11,0.1,0,0.62
2,11,0.1,42,0.62
2,11,0.1,99,0.58
2,11,0.2,0,0.59
2,11,0.2,42,0.61
2,11,0.2,99,0.575
2,11,0.3,0,0.59
2,11,0.3,42,0.6066666666666667
2,11,0.3,99,0.5166666666666667
2,11,0.4,0,0.5675
2,11,0.4,42,0.59
2,11,0.4,99,0.56
2,12,0.1,0,0.57
2,12,0.1,42,0.6
2,12,0.1,99,0.56
2,12,0.2,0,0.565
2,12,0.2,42,0.61
2,12,0.2,99,0.58
2,12,0.3,0,0.5833333333333334
2,12,0.3,42,0.6
2,12,0.3,99,0.5233333333333333
2,12,0.4,0,0.5625
2,12,0.4,42,0.5775
2,12,0.4,99,0.5625
2,13,0.1,0,0.59
2,13,0.1,42,0.63
2,13,0.1,99,0.55
2,13,0.2,0,0.55
2,13,0.2,42,0.615
2,13,0.2,99,0.55
2,13,0.3,0,0.57
2,13,0.3,42,0.5933333333333334
2,13,0.3,99,0.5233333333333333
2,13,0.4,0,0.5725
2,13,0.4,42,0.5825
2,13,0.4,99,0.56
2,14,0.1,0,0.6
2,14,0.1,42,0.63
2,14,0.1,99,0.53
2,14,0.2,0,0.57
2,14,0.2,42,0.61
2,14,0.2,99,0.58
2,14,0.3,0,0.5833333333333334
2,14,0.3,42,0.59
2,14,0.3,99,0.5333333333333333
2,14,0.4,0,0.565
2,14,0.4,42,0.57
2,14,0.4,99,0.5425
2,15,0.1,0,0.57
2,15,0.1,42,0.6
2,15,0.1,99,0.54
2,15,0.2,0,0.57
2,15,0.2,42,0.615
2,15,0.2,99,0.58
2,15,0.3,0,0.57
2,15,0.3,42,0.5933333333333334
2,15,0.3,99,0.5233333333333333
2,15,0.4,0,0.56
2,15,0.4,42,0.58
2,15,0.4,99,0.5425
2,16,0.1,0,0.62
2,16,0.1,42,0.59
2,16,0.1,99,0.56
2,16,0.2,0,0.565
2,16,0.2,42,0.61
2,16,0.2,99,0.55
2,16,0.3,0,0.5766666666666667
2,16,0.3,42,0.59
2,16,0.3,99,0.5266666666666666
2,16,0.4,0,0.5625
2,16,0.4,42,0.5925
2,16,0.4,99,0.545
2,17,0.1,0,0.61
2,17,0.1,42,0.62
2,17,0.1,99,0.55
2,17,0.2,0,0.57
2,17,0.2,42,0.615
2,17,0.2,99,0.555
2,17,0.3,0,0.57
2,17,0.3,42,0.6033333333333334
2,17,0.3,99,0.52
2,17,0.4,0,0.5725
2,17,0.4,42,0.595
2,17,0.4,99,0.5375
2,18,0.1,0,0.59
2,18,0.1,42,0.61
2,18,0.1,99,0.57
2,18,0.2,0,0.57
2,18,0.2,42,0.6
2,18,0.2,99,0.57
2,18,0.3,0,0.5666666666666667
2,18,0.3,42,0.6
2,18,0.3,99,0.53
2,18,0.4,0,0.57
2,18,0.4,42,0.5925
2,18,0.4,99,0.5325
2,19,0.1,0,0.58
2,19,0.1,42,0.61
2,19,0.1,99,0.56
2,19,0.2,0,0.565
2,19,0.2,42,0.605
2,19,0.2,99,0.555
2,19,0.3,0,0.5666666666666667
2,19,0.3,42,0.6
2,19,0.3,99,0.5166666666666667
2,19,0.4,0,0.5575
2,19,0.4,42,0.58
2,19,0.4,99,0.54
2,20,0.1,0,0.57
2,20,0.1,42,0.6
2,20,0.1,99,0.56
2,20,0.2,0,0.555
2,20,0.2,42,0.605
2,20,0.2,99,0.56
2,20,0.3,0,0.5533333333333333
2,20,0.3,42,0.6
2,20,0.3,99,0.53
2,20,0.4,0,0.565
2,20,0.4,42,0.58
2,20,0.4,99,0.545
2,21,0.1,0,0.58
2,21,0.1,42,0.6
2,21,0.1,99,0.54
2,21,0.2,0,0.56
2,21,0.2,42,0.615
2,21,0.2,99,0.54
2,21,0.3,0,0.54
2,21,0.3,42,0.5833333333333334
2,21,0.3,99,0.5166666666666667
2,21,0.4,0,0.5425
2,21,0.4,42,0.5775
2,21,0.4,99,0.545
2,22,0.1,0,0.55
2,22,0.1,42,0.59
2,22,0.1,99,0.54
2,22,0.2,0,0.555
2,22,0.2,42,0.62
2,22,0.2,99,0.555
2,22,0.3,0,0.5466666666666666
2,22,0.3,42,0.5933333333333334
2,22,0.3,99,0.5233333333333333
2,22,0.4,0,0.5575
2,22,0.4,42,0.5725
2,22,0.4,99,0.54
2,23,0.1,0,0.56
2,23,0.1,42,0.57
2,23,0.1,99,0.54
2,23,0.2,0,0.535
2,23,0.2,42,0.6
2,23,0.2,99,0.55
