trial_id,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,best_round,cv_logloss_mean,cv_logloss_std,cv_accuracy_mean,cv_accuracy_std
56,0.9654645528436463,5.864538973811341,0.2931179724283817,3,5,262,0.9757479439393868,0.03724680809051286,0.558533508213803,68,0.7649999627073456,0.021334339675713864,0.763640369724194,0.010249883212420513
57,0.5714958410264179,0.07138314619350962,0.033993908780759724,6,6,106,6.836334042594451e-05,0.00991977016438475,0.6983258009771259,106,0.7497439793599243,0.017748172834552114,0.8179428475713466,0.007944956361486883
58,0.9459484543883883,2.086620141746946e-07,0.01868835877799022,7,3,235,2.3358081090126034e-05,0.0456467471476232,0.9063997836287513,235,0.592455255409091,0.021830558992899846,0.8443442827612063,0.01170376671108725
59,0.9736242886919293,7.4818599475110625,0.07348676264040307,7,12,514,0.00021627329238738688,0.04923753173773047,0.8525421821483299,168,0.7618145219110085,0.02154934328869601,0.7769027262815229,0.008140998188069787
60,0.6243620772151439,9.38151033141308e-06,0.011917630003680473,6,13,341,0.00016517555622018551,0.001786802667957837,0.559408958134036,341,0.7710070745598353,0.01934112379851302,0.7988005644954881,0.009469577501533662
61,0.5587631233885524,0.006964544522235876,0.07047638630346495,6,12,289,3.999503082535099e-05,0.13765357396078304,0.5414456608466771,289,0.4118315337102406,0.015078185478693367,0.8698701707340555,0.005360803027720083
62,0.7641850606486046,8.453226083908279e-05,0.09703353858572143,6,13,416,8.02005773116694e-06,0.0015642658687075451,0.9623216651117981,291,0.36317616669475355,0.015153280809404998,0.8835079966280552,0.007341898456732172
63,0.9595578576393298,1.8919580903124127e-06,0.052798024574822404,2,2,146,0.004619423115484311,1.3030204850447675,0.7272705323838866,146,0.9505929922580023,0.021109261928628935,0.7119628115507111,0.009713477979110641
64,0.8137790400420317,0.001814800153417629,0.1707173503746486,2,11,111,4.2493418124358335,0.0018157819161548035,0.697260899304065,111,0.7307973775254433,0.017896491416465668,0.7705211564486878,0.00881782052176978
65,0.5533780329679422,1.0493988481597925e-05,0.00263219279758098,5,10,235,1.5141540141293391e-05,0.4102977957587027,0.5388673184824924,235,1.6813325870826605,0.009751963171867552,0.7178441469598098,0.012654741694105319
66,0.9871974038330833,7.5144413702907125,0.05363289266069672,2,9,516,5.0218124361005515e-05,0.4997209719106854,0.6354788212575649,277,0.8510141664414993,0.023419053587373447,0.739491672282661,0.012533081025465997
67,0.5665925626118749,4.850688837960077e-08,0.21370337438085682,4,5,402,1.873220778579575,0.0023467926001230067,0.9383307429628964,180,0.3782512142068611,0.015423791065211833,0.8780027567292136,0.004688884110859543
68,0.775793936272035,3.0444465254047196e-07,0.01044068012695183,7,1,245,7.682192116846543,0.004714489363270081,0.7970653576760676,245,0.9793049650722733,0.01977352255534013,0.7737730324256165,0.012561111502752824
69,0.6904454283155108,5.360799696389113,0.1219075725255199,6,1,197,2.144849424684117e-08,0.003974405416815576,0.5068359824134987,151,0.7086138621305054,0.018518545980469713,0.7882889102309719,0.009080491774098311
70,0.5376795301762312,0.016804653982347404,0.021068834673593696,6,6,358,0.0009974367153404752,2.7723617679895187,0.9723828649412141,358,0.5298336556999875,0.017967277066884172,0.8502243658231325,0.00842381242832198
71,0.9248236953387057,1.6831891217475308e-06,0.01306328656011828,7,1,150,2.9688357649855495e-06,0.008468048016474031,0.9391103337395961,150,0.920055971942799,0.019025141278701658,0.8121860424342184,0.009644997280331625
72,0.8784995660861143,2.6428238055977135e-08,0.004629502423508547,8,10,349,0.00048169186088764174,2.869214963190627,0.7600817505559967,349,1.1377774150520703,0.019094146944144543,0.7720219379915951,0.011513452811368282
73,0.9260907501592701,0.0009271746499000013,0.024519486565028243,7,11,412,0.002039872739856988,0.14100158746427527,0.7102678893325376,412,0.45055629407919123,0.017424906712066823,0.8636133659882859,0.007051284355209587
74,0.8923341319721547,0.005678742977584357,0.09867184682794487,8,6,291,1.351767469947463e-08,0.03712128583048964,0.7949588434273165,171,0.3536189579912215,0.015455044017750426,0.8865116730497237,0.007595886913251727
75,0.6961220225498661,8.65514400728423e-05,0.17366436783471773,5,9,265,0.00011433890447214117,11.92038582465421,0.6489797257709753,265,0.3729057181171079,0.014155809429942236,0.8776275222076376,0.006536043043887432
76,0.7618011380075056,0.019001016865546345,0.09396306275656996,3,8,500,0.0002685632833057292,0.014328193559586094,0.7295678781191306,448,0.39559792274426986,0.018794044795969043,0.8731221249826824,0.009222231088253685
77,0.9900162876427385,0.00027137063190650336,0.006521651707797611,4,11,339,1.1859568669774254e-05,0.2543275820531488,0.730059579491786,339,1.1244248314431775,0.018716510749432116,0.7224715697623906,0.011013991914111414
78,0.7923830529745768,4.005939630522075e-05,0.05348194284361236,5,8,487,1.2912357744050557e-05,10.352147492152733,0.7369808201314362,487,0.39097079304655064,0.01738834308682461,0.8781280697181671,0.006663526430238944
79,0.8337788692605136,3.5553211861858394e-07,0.0029944924024461472,4,5,104,1.2756855917274108e-05,0.036002559243708404,0.5159023407425826,104,1.9234005248585295,0.006915795974605888,0.6754280092141443,0.016564438925109434
80,0.7743576546037043,0.0006453741017505926,0.007617879035203032,7,2,532,0.00033943407477115374,1.2330519132649924,0.5196560699205495,532,0.6544628216216576,0.019772503252021293,0.8347105238646495,0.008842836914019896
81,0.8997051994545213,0.004478200204192239,0.0015941421165466322,7,11,418,2.4864154010257734e-05,0.0010271130302169293,0.9341505535177934,418,1.5485769365110602,0.012010947945684249,0.7426172960102567,0.009277986577648068
82,0.5422585038403409,0.0023741204028445767,0.2773819309332313,8,8,313,1.333671277287067e-06,2.525878835808015,0.7656328769867671,208,0.3568539043752381,0.015738499933781295,0.8805043202063868,0.004490334816847285
83,0.8602580306957324,3.639755932748574e-08,0.0023225637570547,4,7,102,1.139886313566193,0.19536283624291775,0.7660567426326579,102,2.002283057702256,0.00522399420558352,0.6555326741290903,0.01697696493789745
84,0.553586005669888,0.00010634358609575454,0.020862077353345027,8,9,218,2.4863225446588643e-05,0.0012298756020598938,0.6610395827915891,218,0.6342176468622983,0.016642756412196688,0.8357103665385359,0.005860307206761733
85,0.6057240034982723,8.860866014059985e-06,0.0019800006017055925,2,13,311,0.00018438664953177982,0.03889063406499766,0.8244114201457879,207,1.9901449847704762,0.006587557728791591,0.5615639781121022,0.017739871826654475
86,0.739791050877125,0.0018104867985068512,0.0668649639440978,8,8,523,7.672482668451368e-05,0.0037255679199804524,0.6418879528993622,277,0.3674418406226456,0.01706472360332761,0.8823825278784221,0.005704813979560317
87,0.6815411481993175,0.006505117896694046,0.025935048842942725,9,11,464,9.400183500618412e-06,15.144380389982613,0.5037671815670374,464,0.5521483554629929,0.018617259046794645,0.8372135745040901,0.008180721739729408
88,0.6126663988562642,1.941830763231045e-05,0.01615712280212839,7,11,545,3.680073716668427e-06,0.0059733038706600424,0.9483827123132126,545,0.46551102810380235,0.01878608912653745,0.863988365694767,0.007368588678639962
89,0.5401168728308211,0.0005255360422674464,0.010389692713301752,5,8,322,1.1735250562336812,0.3791532290893199,0.9586978065427658,322,0.8761946082538538,0.017561780526712298,0.7859110160370882,0.011057656873576144
90,0.5026500031988027,5.964917845140241,0.016430252277127626,7,3,161,2.31410948358103,0.3109531654044197,0.7858063447349499,132,1.0963666236258611,0.01891321271347378,0.759634893836182,0.010413471935032625
91,0.6399895468301421,0.08422410384447676,0.002906230425492398,7,4,374,6.245430014109046e-07,1.9781896025579904,0.7649200115905583,291,1.4408642445786566,0.01360481110906095,0.7877885975355373,0.010769663651403607
92,0.8536150478222222,0.08128595509637193,0.0016452365883042213,7,11,455,7.68740442607432e-06,0.4559178950926272,0.6846152407549481,455,1.5256598088103055,0.014223548606284523,0.7421171398582187,0.01105064523568653
93,0.7271339861095498,0.0008658208928840391,0.022895298157465493,3,13,267,0.19447779091756484,0.013805657272427805,0.8407513611119646,267,0.8537071478025089,0.02043660473057173,0.7507519170695702,0.010609753152311139
94,0.8801139299448433,0.002294820207373801,0.014728258563897414,8,3,193,9.12626869345765e-08,6.438874987266253,0.8729872627743591,193,0.8296233579729846,0.021278397300500216,0.8121872165096928,0.012470713916101696
95,0.7042591464679584,2.49139508820249,0.2848737732944444,3,12,582,3.967038417701772e-08,2.080113397747583,0.787236556589956,145,0.566928829960105,0.017764081259076057,0.8174430827777999,0.009134024342224994
96,0.920914388379136,1.8111373615781165e-07,0.09331974886690086,7,12,385,0.2668050774775723,0.006832155279602248,0.6178458730324998,261,0.3835973876777229,0.017271469833741112,0.8765011924693233,0.004598894717338503
97,0.8168792818600886,1.481819051598114,0.006070958647528201,3,9,501,0.22356043976512863,0.09248264303873184,0.6884722147124538,501,1.1088452065633354,0.02026503225054082,0.7033279560676612,0.012797979746033626
98,0.7313398928348032,5.157044363904152e-06,0.07110810186067928,8,1,252,1.5785635351201025e-05,0.05658650569813519,0.765928739844087,252,0.3226857993547328,0.02122004017786864,0.8932684774041347,0.006743069863595379
99,0.5333095561954084,1.1514060797505527e-06,0.022115846422169818,7,6,166,0.004460386345450839,0.03158006690092348,0.5696360363316937,166,0.7216783625576386,0.0166608799778368,0.8282029365975763,0.006609427556991104
